Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID
GPA.3351-9751-5557-45211,"Jul 1, 2022",1:42:37 AM PDT,,Charge,,Clock Face 13 (The Clock: Alarm Clock & Timer),hdesign.theclock,1,product_clock_face_13,p3s,NL,,2552ZD,EUR,1.64,17.486000,TRY,28.68,,,4992301508099091170,Yes,,,
GPA.3351-9751-5557-45211,"Jul 1, 2022",1:42:37 AM PDT,,Google fee,,Clock Face 13 (The Clock: Alarm Clock & Timer),hdesign.theclock,1,product_clock_face_13,p3s,NL,,2552ZD,EUR,-0.25,17.486000,TRY,-4.37,,,4992301508099091170,Yes,15,,
GPA.3330-7901-8649-56434,"Jul 1, 2022",2:21:46 AM PDT,,Charge,,Premium Gold Monthly (The Clock: Alarm Clock & Timer),hdesign.theclock,1,premium_gold_monthly_new_trial,g0q,US,NC,28206,USD,2.99,16.721000,TRY,50.00,p1m,,4992301508099091170,Yes,,,
GPA.3330-7901-8649-56434,"Jul 1, 2022",2:21:46 AM PDT,,Google fee,,Premium Gold Monthly (The Clock: Alarm Clock & Timer),hdesign.theclock,1,premium_gold_monthly_new_trial,g0q,US,NC,28206,USD,-0.45,16.721000,TRY,-7.52,p1m,,4992301508099091170,Yes,15,SUBSCRIPTIONS,
GPA.3389-1880-5901-78149..16,"Jul 1, 2022",2:41:02 AM PDT,,Charge,,Premium Silver Monthly (The Clock: Alarm Clock & Timer),hdesign.theclock,1,premium_silver_monthly,,US,CA,94928,USD,1.99,16.721000,TRY,33.27,,,4992301508099091170,Yes,,,
GPA.3389-1880-5901-78149..16,"Jul 1, 2022",2:41:02 AM PDT,,Google fee,,Premium Silver Monthly (The Clock: Alarm Clock & Timer),hdesign.theclock,1,premium_silver_monthly,,US,CA,94928,USD,-0.30,16.721000,TRY,-5.02,,,4992301508099091170,Yes,15,SUBSCRIPTIONS,
GPA.3385-8907-6683-00508..1,"Jul 1, 2022",2:46:20 AM PDT,,Charge,,Premium Gold Yearly (The Clock: Alarm Clock & Timer),hdesign.theclock,1,premium_gold_yearly_new_trial,,ZA,,9660,ZAR,86.95,1.019500,TRY,88.64,,,4992301508099091170,Yes,,,
GPA.3385-8907-6683-00508..1,"Jul 1, 2022",2:46:20 AM PDT,,Google fee,,Premium Gold Yearly (The Clock: Alarm Clock & Timer),hdesign.theclock,1,premium_gold_yearly_new_trial,,ZA,,9660,ZAR,-13.04,1.019500,TRY,-13.29,,,4992301508099091170,Yes,15,SUBSCRIPTIONS,
GPA.3319-3898-9506-99850..9,"Jul 1, 2022",4:01:42 AM PDT,,Charge,,Premium Gold Monthly (The Clock: Alarm Clock & Timer),hdesign.theclock,1,premium_gold_monthly_new_trial,,US,TN,38468,USD,2.99,16.749000,TRY,50.08,,,4992301508099091170,Yes,,,
GPA.3319-3898-9506-99850..9,"Jul 1, 2022",4:01:42 AM PDT,,Google fee,,Premium Gold Monthly (The Clock: Alarm Clock & Timer),hdesign.theclock,1,premium_gold_monthly_new_trial,,US,TN,38468,USD,-0.45,16.749000,TRY,-7.54,,,4992301508099091170,Yes,15,SUBSCRIPTIONS,
